name,bucklingStiffnessWarp,bendingBias,bucklingRatioWeft,bucklingStiffnessBias,bucklingRatioWarp,bucklingRatioWias,thickness,bendingWeft,bendingWarp,shear,stretchWarp,stretchWeft,internalDamping,density,bucklingStiffnessWeft,friction
VeganLeather,0.0,5187.98828125,0.0,0.0,0.0,0.0,0.5799999833106995,9378.0517578125,997.9248046875,700000.0,700000.0,700000.0,9.999999747378752e-05,287.3737487792969,0.0,0.029999999329447746
Rib,0.0,866.69921875,0.0,0.0,0.0,0.0,0.9399999976158142,173.9501953125,1559.4482421875,5731.2392578125,128787.21875,31170.490234375,9.999999747378752e-05,261.1111145019531,0.0,0.029999999329447746
Rib,0.0,244.140625,0.0,0.0,0.0,0.0,0.9599999785423279,76.2939453125,411.9873046875,8366.6748046875,91631.4375,3603.60888671875,9.999999747378752e-05,196.4646453857422,0.0,0.029999999329447746
SingleJersey,0.0,164.794921875,0.0,0.0,0.0,0.0,0.8899999856948853,88.5009765625,241.0888671875,5362.13720703125,62169.80078125,15903.0126953125,9.999999747378752e-05,157.07069396972656,0.0,0.029999999329447746
Rib,0.0,146.484375,0.0,0.0,0.0,0.0,1.2000000476837158,76.2939453125,216.6748046875,4098.45849609375,92920.9609375,6844.337890625,9.999999747378752e-05,207.07069396972656,0.0,0.029999999329447746
DoubleJersey,0.0,1266.4794921875,0.0,0.0,0.0,0.0,1.0199999809265137,778.1982421875,1754.7607421875,39227.11328125,183305.90625,81754.109375,9.999999747378752e-05,243.93939208984375,0.0,0.029999999329447746
Rib,0.0,3366.0888671875,0.0,0.0,0.0,0.0,1.2899999618530273,3512.5732421875,3219.6044921875,84975.375,417850.0,133625.78125,9.999999747378752e-05,409.5959167480469,0.0,0.029999999329447746
FrenchTerry,0.0,15625.0,0.0,0.0,0.0,0.0,2.869999885559082,12496.9482421875,18753.05078125,69899.4765625,271256.40625,139334.75,9.999999747378752e-05,501.0101013183594,0.0,0.029999999329447746
FrenchTerry,0.0,6246.9482421875,0.0,0.0,0.0,0.0,1.6699999570846558,6246.9482421875,6246.9482421875,55917.7578125,235849.125,218087.984375,9.999999747378752e-05,251.0100860595703,0.0,0.029999999329447746
FrenchTerry,0.0,31250.0,0.0,0.0,0.0,0.0,1.9900000095367432,24996.94921875,37503.05078125,69319.2578125,519934.25,210194.46875,9.999999747378752e-05,340.9090881347656,0.0,0.029999999329447746
DoubleJersey,0.0,1745.60546875,0.0,0.0,0.0,0.0,1.3600000143051147,1126.0986328125,2365.1123046875,32524.841796875,167008.125,87388.4140625,9.999999747378752e-05,309.595947265625,0.0,0.029999999329447746
Rib,0.0,18786.62109375,0.0,0.0,0.0,0.0,1.6399999856948853,70.1904296875,37503.05078125,12348.921875,218822.421875,6097.6005859375,9.999999747378752e-05,305.5555419921875,0.0,0.029999999329447746
SingleJersey,0.0,830.078125,0.0,0.0,0.0,0.0,1.0099999904632568,100.7080078125,1559.4482421875,30154.375,116469.3125,35493.61328125,9.999999747378752e-05,225.25253295898438,0.0,0.029999999329447746
SingleJersey,0.0,1232.91015625,0.0,0.0,0.0,0.0,0.9300000071525574,119.0185546875,2346.8017578125,57162.96875,229440.140625,77890.28125,9.999999747378752e-05,260.10101318359375,0.0,0.029999999329447746
DoubleJersey,0.0,317.3828125,0.0,0.0,0.0,0.0,1.2100000381469727,149.5361328125,485.2294921875,15804.111328125,132610.640625,36577.66015625,9.999999747378752e-05,237.8787841796875,0.0,0.029999999329447746
DoubleJersey,0.0,1562.5,0.0,0.0,0.0,0.0,0.7400000095367432,1174.9267578125,1950.0732421875,45380.7734375,169698.1875,82497.9375,9.999999747378752e-05,221.21212768554688,0.0,0.029999999329447746
Ponte,0.0,854.4921875,0.0,0.0,0.0,0.0,1.4900000095367432,735.4736328125,973.5107421875,10503.095703125,107302.0234375,25095.4921875,9.999999747378752e-05,334.8485107421875,0.0,0.029999999329447746
DoubleJersey,0.0,2926.6357421875,0.0,0.0,0.0,0.0,1.100000023841858,1950.0732421875,3903.1982421875,56851.01953125,321051.625,149670.703125,9.999999747378752e-05,284.8484802246094,0.0,0.029999999329447746
Ponte,0.0,6152.34375,0.0,0.0,0.0,0.0,0.9399999976158142,6057.7392578125,6246.9482421875,81064.109375,234497.75,212862.609375,9.999999747378752e-05,281.81817626953125,0.0,0.029999999329447746
DoubleJersey,0.0,2343.75,0.0,0.0,0.0,0.0,1.1399999856948853,1467.8955078125,3219.6044921875,57758.1640625,288814.9375,137677.203125,9.999999747378752e-05,281.81817626953125,0.0,0.029999999329447746
DoubleJersey,0.0,1156.6162109375,0.0,0.0,0.0,0.0,1.1699999570846558,772.0947265625,1541.1376953125,9827.8173828125,80518.1484375,11487.87890625,9.999999747378752e-05,268.18182373046875,0.0,0.029999999329447746
DoubleJersey,0.0,488.28125,0.0,0.0,0.0,0.0,0.800000011920929,387.5732421875,588.9892578125,33612.28125,214039.96875,58800.14453125,9.999999747378752e-05,197.97979736328125,0.0,0.029999999329447746
CutandSewKnit,0.0,830.078125,0.0,0.0,0.0,0.0,2.309999942779541,485.2294921875,1174.9267578125,4542.486328125,44483.7734375,11058.150390625,9.999999747378752e-05,383.83837890625,0.0,0.029999999329447746
CutandSewKnit,0.0,1068.115234375,0.0,0.0,0.0,0.0,2.240000009536743,1266.4794921875,869.7509765625,9098.201171875,37063.06640625,18622.13671875,9.999999747378752e-05,343.4343566894531,0.0,0.029999999329447746
Ponte,0.0,3524.7802734375,0.0,0.0,0.0,0.0,1.0399999618530273,3146.3623046875,3903.1982421875,62403.0703125,172954.078125,188592.875,9.999999747378752e-05,294.4444274902344,0.0,0.029999999329447746
CutandSewKnit,0.0,491.3330078125,0.0,0.0,0.0,0.0,2.3399999141693115,204.4677734375,778.1982421875,7970.6416015625,67353.1796875,25136.734375,9.999999747378752e-05,282.3232421875,0.0,0.029999999329447746
DoubleJersey,0.0,231.93359375,0.0,0.0,0.0,0.0,1.6200000047683716,344.8486328125,119.0185546875,16347.2158203125,57401.609375,32191.888671875,9.999999747378752e-05,368.6868896484375,0.0,0.029999999329447746
DoubleJersey,0.0,817.87109375,0.0,0.0,0.0,0.0,1.8700000047683716,857.5439453125,778.1982421875,34864.65234375,95426.6796875,70057.6640625,9.999999747378752e-05,344.4444580078125,0.0,0.029999999329447746
CutandSewKnit,0.0,1516.7236328125,0.0,0.0,0.0,0.0,1.7000000476837158,296.0205078125,2737.4267578125,7149.22509765625,40451.15234375,20131.46484375,9.999999747378752e-05,228.28282165527344,0.0,0.029999999329447746
SingleJersey,0.0,1339.7216796875,0.0,0.0,0.0,0.0,1.0,241.0888671875,2438.3544921875,50853.3046875,126912.8671875,46685.51171875,9.999999747378752e-05,243.43434143066406,0.0,0.029999999329447746
SingleJersey,0.0,1712.0361328125,0.0,0.0,0.0,0.0,1.0299999713897705,686.6455078125,2737.4267578125,36052.26171875,136906.796875,29786.046875,9.999999747378752e-05,244.44444274902344,0.0,0.029999999329447746
CutandSewKnit,0.0,1809.6923828125,0.0,0.0,0.0,0.0,1.9800000190734863,588.9892578125,3030.3955078125,13221.30078125,70613.4765625,12158.9404296875,9.999999747378752e-05,292.9292907714844,0.0,0.029999999329447746
Rib,0.0,1062.01171875,0.0,0.0,0.0,0.0,1.2000000476837158,173.9501953125,1950.0732421875,10677.48046875,147928.109375,8417.2880859375,9.999999747378752e-05,281.3131408691406,0.0,0.029999999329447746
DoubleJersey,0.0,521.8505859375,0.0,0.0,0.0,0.0,1.190000057220459,827.0263671875,216.6748046875,77678.375,347319.1875,140323.296875,9.999999747378752e-05,302.5252380371094,0.0,0.029999999329447746
DoubleJersey,0.0,4391.4794921875,0.0,0.0,0.0,0.0,1.5199999809265137,2536.0107421875,6246.9482421875,127532.359375,729999.9375,388144.625,9.999999747378752e-05,269.6969909667969,0.0,0.029999999329447746
Organza,0.0,234.9853515625,0.0,0.0,0.0,0.0,0.07999999821186066,173.9501953125,296.0205078125,21760.564453125,299999.96875,299999.96875,9.999999747378752e-05,37.37373733520508,0.0,0.029999999329447746
SingleJersey,0.0,747.6806640625,0.0,0.0,0.0,0.0,0.6800000071525574,27.4658203125,1467.8955078125,22309.33984375,68247.0859375,50752.08984375,9.999999747378752e-05,173.7373809814453,0.0,0.029999999329447746
SingleJersey,0.0,488.28125,0.0,0.0,0.0,0.0,0.5199999809265137,387.5732421875,588.9892578125,19948.509765625,78498.6640625,57825.40625,9.999999747378752e-05,154.5454559326172,0.0,0.029999999329447746
SingleJersey,0.0,125.1220703125,0.0,0.0,0.0,0.0,0.5099999904632568,51.8798828125,198.3642578125,25236.818359375,47062.95703125,72257.359375,9.999999747378752e-05,195.4545440673828,0.0,0.029999999329447746
FrenchTerry,0.0,680.5419921875,0.0,0.0,0.0,0.0,0.800000011920929,387.5732421875,973.5107421875,66162.8828125,198271.4375,120368.9140625,9.999999747378752e-05,183.33334350585938,0.0,0.029999999329447746
SingleJersey,0.0,70.1904296875,0.0,0.0,0.0,0.0,0.6899999976158142,45.7763671875,94.6044921875,3859.46533203125,16344.845703125,9766.705078125,9.999999747378752e-05,200.5050506591797,0.0,0.029999999329447746
Rib,0.0,45.7763671875,0.0,0.0,0.0,0.0,0.8399999737739563,45.7763671875,45.7763671875,3905.494140625,20606.138671875,9142.59375,9.999999747378752e-05,238.88890075683594,0.0,0.029999999329447746
DoubleJersey,0.0,280.76171875,0.0,0.0,0.0,0.0,1.3300000429153442,387.5732421875,173.9501953125,11260.2890625,84371.3046875,19173.6328125,9.999999747378752e-05,321.7171630859375,0.0,0.029999999329447746
SingleJersey,0.0,634.765625,0.0,0.0,0.0,0.0,0.5400000214576721,94.6044921875,1174.9267578125,17303.58984375,166198.34375,43078.546875,9.999999747378752e-05,143.93939208984375,0.0,0.029999999329447746
FrenchTerry,0.0,1074.21875,0.0,0.0,0.0,0.0,1.2200000286102295,588.9892578125,1559.4482421875,45108.9453125,152276.5,34539.81640625,9.999999747378752e-05,217.6767578125,0.0,0.029999999329447746
Rib,0.0,735.4736328125,0.0,0.0,0.0,0.0,0.949999988079071,296.0205078125,1174.9267578125,38587.03515625,271010.21875,49881.99609375,9.999999747378752e-05,227.27273559570312,0.0,0.029999999329447746
VeganLeather,0.0,28906.25,0.0,0.0,0.0,0.0,0.7599999904632568,14059.4482421875,43753.05078125,799999.9375,799999.9375,799999.9375,9.999999747378752e-05,304.54547119140625,0.0,0.029999999329447746
VeganLeather,0.0,7809.4482421875,0.0,0.0,0.0,0.0,0.9900000095367432,7809.4482421875,7809.4482421875,141307.96875,580000.0,508878.875,9.999999747378752e-05,288.3838195800781,0.0,0.029999999329447746
SingleJersey,0.0,650.0244140625,0.0,0.0,0.0,0.0,0.6700000166893005,125.1220703125,1174.9267578125,28819.734375,84110.8984375,72767.625,9.999999747378752e-05,221.71717834472656,0.0,0.029999999329447746
SingleJersey,0.0,1864.6240234375,0.0,0.0,0.0,0.0,0.7599999904632568,216.6748046875,3512.5732421875,102903.546875,310869.65625,172874.203125,9.999999747378752e-05,256.06060791015625,0.0,0.029999999329447746
SingleJersey,0.0,2627.5634765625,0.0,0.0,0.0,0.0,0.8700000047683716,564.5751953125,4690.5517578125,123123.5859375,329813.0,141548.84375,9.999999747378752e-05,273.2323303222656,0.0,0.029999999329447746
SingleJersey,0.0,5374.1455078125,0.0,0.0,0.0,0.0,0.8600000143051147,1370.2392578125,9378.0517578125,299042.46875,680000.0,569123.9375,9.999999747378752e-05,333.3333435058594,0.0,0.029999999329447746
SingleJersey,0.0,3662.109375,0.0,0.0,0.0,0.0,0.9800000190734863,686.6455078125,6637.5732421875,134890.40625,502466.25,251801.875,9.999999747378752e-05,321.2121276855469,0.0,0.029999999329447746
SingleJersey,0.0,268.5546875,0.0,0.0,0.0,0.0,0.6000000238418579,39.6728515625,497.4365234375,66019.7734375,218729.25,166799.03125,9.999999747378752e-05,182.82827758789062,0.0,0.029999999329447746
Vegan+Fur,0.0,793.45703125,0.0,0.0,0.0,0.0,1.5700000524520874,875.8544921875,711.0595703125,161766.0625,620000.0,363467.09375,9.999999747378752e-05,363.6363525390625,0.0,0.029999999329447746
Embroidered+Lace,0.0,1217.6513671875,0.0,0.0,0.0,0.0,2.25,1559.4482421875,875.8544921875,101954.0,530000.0,530000.0,9.999999747378752e-05,156.06060791015625,0.0,0.029999999329447746
OtherWool-blended,0.0,8688.3544921875,0.0,0.0,0.0,0.0,3.359999895095825,15621.9482421875,1754.7607421875,164964.6875,659999.9375,275681.40625,9.999999747378752e-05,396.9696960449219,0.0,0.029999999329447746
Rib,0.0,418.0908203125,0.0,0.0,0.0,0.0,1.0,57.9833984375,778.1982421875,3198.517578125,19525.3046875,7935.455078125,9.999999747378752e-05,161.11111450195312,0.0,0.029999999329447746
DoubleJersey,0.0,878.90625,0.0,0.0,0.0,0.0,0.9300000071525574,387.5732421875,1370.2392578125,46646.1484375,232924.03125,74028.0,9.999999747378752e-05,223.23233032226562,0.0,0.029999999329447746
Velvet,0.0,244.140625,0.0,0.0,0.0,0.0,1.100000023841858,192.2607421875,296.0205078125,22681.111328125,360000.0,360000.0,9.999999747378752e-05,150.0,0.0,0.029999999329447746
Vinyl,0.0,99996.953125,0.0,0.0,0.0,0.0,1.1399999856948853,99996.953125,99996.953125,1000000.0,1000000.0,1000000.0,9.999999747378752e-05,658.080810546875,0.0,0.029999999329447746
Vinyl,0.0,49975.5859375,0.0,0.0,0.0,0.0,1.350000023841858,49954.22265625,49996.94921875,890000.0,890000.0,890000.0,9.999999747378752e-05,567.1717529296875,0.0,0.029999999329447746
Vinyl,0.0,99996.953125,0.0,0.0,0.0,0.0,1.3200000524520874,99996.953125,99996.953125,129999.9921875,129999.9921875,129999.9921875,9.999999747378752e-05,689.3939208984375,0.0,0.029999999329447746
Vinyl,0.0,13278.19921875,0.0,0.0,0.0,0.0,0.800000011920929,24996.94921875,1559.4482421875,979999.9375,979999.9375,979999.9375,9.999999747378752e-05,281.81817626953125,0.0,0.029999999329447746
Tencel,0.0,512.6953125,0.0,0.0,0.0,0.0,0.44999998807907104,436.4013671875,588.9892578125,1009.7769775390625,90200.546875,98342.0859375,9.999999747378752e-05,221.21212768554688,0.0,0.029999999329447746
Vinyl,0.0,99996.953125,0.0,0.0,0.0,0.0,0.7599999904632568,99996.953125,99996.953125,1000000.0,1000000.0,1000000.0,9.999999747378752e-05,892.4242553710938,0.0,0.029999999329447746
Chiffon,0.0,42.724609375,0.0,0.0,0.0,0.0,0.20000000298023224,15.2587890625,70.1904296875,3397.677734375,250000.0,130675.046875,9.999999747378752e-05,80.8080825805664,0.0,0.029999999329447746
VeganLeather,0.0,7424.9267578125,0.0,0.0,0.0,0.0,0.7900000214576721,5471.8017578125,9378.0517578125,272267.1875,770000.0,731430.1875,9.999999747378752e-05,308.080810546875,0.0,0.029999999329447746
Vinyl,0.0,17968.75,0.0,0.0,0.0,0.0,0.6299999952316284,12496.9482421875,23440.55078125,1000000.0,1000000.0,1000000.0,9.999999747378752e-05,327.77777099609375,0.0,0.029999999329447746
Vinyl,0.0,4684.4482421875,0.0,0.0,0.0,0.0,0.30000001192092896,1559.4482421875,7809.4482421875,1000000.0,1000000.0,1000000.0,9.999999747378752e-05,113.13130950927734,0.0,0.029999999329447746
Tweeds,0.0,5468.75,0.0,0.0,0.0,0.0,2.200000047683716,4690.5517578125,6246.9482421875,9365.482421875,259999.984375,259999.984375,9.999999747378752e-05,380.8080749511719,0.0,0.029999999329447746
